timestamp_utc,context_length,repeat_index,measured_vram_mib,measured_vram_gb,baseline_vram_mib,delta_vram_gb,predicted_vram_gb,gpu_index
2026-08-12T15:52:40.706608+00:00,512,0,4479.0,4.374,1.0,4.373,5.3371,0
2026-08-12T15:52:45.733362+00:00,512,1,4479.0,4.374,1.0,4.373,5.3371,0
2026-08-12T15:52:50.761164+00:00,512,2,4479.0,4.374,1.0,4.373,5.3371,0
2026-08-12T15:52:55.728152+00:00,512,3,4479.0,4.374,1.0,4.373,5.3371,0
2026-08-12T15:53:00.758729+00:00,512,4,4479.0,4.374,1.0,4.373,5.3371,0
2026-08-12T15:53:05.979029+00:00,1024,0,4543.0,4.4365,1.0,4.4355,5.4043,0
2026-08-12T15:53:11.192889+00:00,1024,1,4543.0,4.4365,1.0,4.4355,5.4043,0
2026-08-12T15:53:16.425255+00:00,1024,2,4543.0,4.4365,1.0,4.4355,5.4043,0
2026-08-12T15:53:21.650623+00:00,1024,3,4543.0,4.4365,1.0,4.4355,5.4043,0
2026-08-12T15:53:26.897597+00:00,1024,4,4543.0,4.4365,1.0,4.4355,5.4043,0
2026-08-12T15:53:32.480435+00:00,2048,0,4671.0,4.5615,1.0,4.5605,5.5385,0
2026-08-12T15:53:38.110012+00:00,2048,1,4671.0,4.5615,1.0,4.5605,5.5385,0
2026-08-12T15:53:43.623192+00:00,2048,2,4671.0,4.5615,1.0,4.5605,5.5385,0
2026-08-12T15:53:49.210760+00:00,2048,3,4671.0,4.5615,1.0,4.5605,5.5385,0
2026-08-12T15:53:54.745506+00:00,2048,4,4671.0,4.5615,1.0,4.5605,5.5385,0
2026-08-12T15:54:01.220018+00:00,4096,0,4927.0,4.8115,1.0,4.8105,5.8069,0
2026-08-12T15:54:07.591559+00:00,4096,1,4927.0,4.8115,1.0,4.8105,5.8069,0
2026-08-12T15:54:14.042443+00:00,4096,2,4927.0,4.8115,1.0,4.8105,5.8069,0
2026-08-12T15:54:20.439326+00:00,4096,3,4927.0,4.8115,1.0,4.8105,5.8069,0
2026-08-12T15:54:26.887786+00:00,4096,4,4927.0,4.8115,1.0,4.8105,5.8069,0
2026-08-12T15:54:35.128129+00:00,8192,0,5439.0,5.3115,1.0,5.3105,6.3438,0
2026-08-12T15:54:43.411780+00:00,8192,1,5439.0,5.3115,1.0,5.3105,6.3438,0
2026-08-12T15:54:51.644084+00:00,8192,2,5439.0,5.3115,1.0,5.3105,6.3438,0
2026-08-12T15:54:59.906482+00:00,8192,3,5439.0,5.3115,1.0,5.3105,6.3438,0
2026-08-12T15:55:08.182440+00:00,8192,4,5439.0,5.3115,1.0,5.3105,6.3438,0
2026-08-12T15:55:20.981553+00:00,16384,0,6511.0,6.3584,1.0,6.3574,7.4175,0
2026-08-12T15:55:33.753385+00:00,16384,1,6511.0,6.3584,1.0,6.3574,7.4175,0
2026-08-12T15:55:46.493316+00:00,16384,2,6511.0,6.3584,1.0,6.3574,7.4175,0
2026-08-12T15:55:59.312230+00:00,16384,3,6511.0,6.3584,1.0,6.3574,7.4175,0
2026-08-12T15:56:12.083696+00:00,16384,4,6511.0,6.3584,1.0,6.3574,7.4175,0
2026-08-12T15:56:38.636693+00:00,32768,0,8511.0,8.3115,1.0,8.3105,9.565,0
2026-08-12T15:57:05.373278+00:00,32768,1,8511.0,8.3115,1.0,8.3105,9.565,0
2026-08-12T15:57:32.898253+00:00,32768,2,8511.0,8.3115,1.0,8.3105,9.565,0
2026-08-12T15:57:59.898733+00:00,32768,3,8511.0,8.3115,1.0,8.3105,9.565,0
2026-08-12T15:58:26.973056+00:00,32768,4,8511.0,8.3115,1.0,8.3105,9.565,0
2026-08-12T15:59:53.611638+00:00,65536,0,12699.0,12.4014,1.0,12.4004,13.86,0
2026-08-12T16:01:21.330036+00:00,65536,1,12699.0,12.4014,1.0,12.4004,13.86,0
2026-08-12T16:02:48.999362+00:00,65536,2,12699.0,12.4014,1.0,12.4004,13.86,0
2026-08-12T16:04:17.369203+00:00,65536,3,12699.0,12.4014,1.0,12.4004,13.86,0
2026-08-12T16:05:46.219767+00:00,65536,4,12699.0,12.4014,1.0,12.4004,13.86,0
